1;abeam;querab
2;accept;annehmen
3;according;entsprechend
4;accredited;veratnwortlich
5;accumulate;ackumulieren
6;activate;aktivieren, in Betrieb setzen
7;actual;wirklich
8;acrobatics;Kunstflug
9;add;hinzufügen
10;In addition, additional;zusätzlich
11;adhere;einhalten
12;adherence;Einhaltung
13;ADIZ - Air Defence Identification Zone;Flugüberwachungszone
14;ADIZ boundary;Grenze " 
15;adjacent;anliegend, benachbart
16;adjoining;angrenzend
17;advance;Fortschritt
18;in advance;im voraus
19;admit;zulassen
20;admissible;zulässig
21;aerial photography;Luftbildaufnahmen
22;aerodrome reference point - ARP;Flugplatzbezugspunkt
23;aerodrome of departure;Startflugplatz, Abflugplatz
24;aeronautical chart;Luftfahrtkarte
25;aeronautical station;Flugfunkstelle
26;aeronautical weather report;Flugwettermeldung
27;aeroplane;Flugzeug
28;aeroplane towing;Flugzeugschlepp
29;Aero-tow operations;Flugzeugschleppbetrieb
30;Aero-tow start;Flugzeugschleppstart
31;aggregates of persons;Menschenansammlung
32;affected;betroffen
33;alter;ändern
34;aid;Hilfe
35;airfield;Landeplatz
36;airfield operator;Landeplatzhalter
37;airborne;gestartet
38;airmiss;Fastzusammenstoß
39;airmiss report;Meldung über "
40;aircraft;Luftfahrzeug
41;aircraft type;Luftfahrzeugmuster
42;aircraft type designator;Luftfahrzeug-Musterkennzeichnung
43;air show;Luftfahrtschau
44;airspace;Luftraum
45;air traffic;Luftverkehr
46;air traffic service;Luftverkehrsdienste
47;air traffic control service - ATC;Luftverkehrskontrolldienst
48;all day;ganztägig
49;All-up weight;Gesamtgewicht
50;allow;erlauben
51;alternate aerodrome;Ausweichflugplatz
52;altitude;Flughöhe
53;amend;ändern
54;amendment;Änderung
55;ammunition depot;Munitionslager
56;announce;bekanntmachen
57;anticipate;vorwegnehmen
58;applicable;anwendbar
59;application;Anwendung, Antrag
60;apply;anwenden
61;apply for;beantragen
62;approach;Anflug
63;approach aids;Anflughilfen
64;approach centre line;Anfluggrundlinie
65;approach to land;Landeanflug
66;appropriate;angemessen, zutreffend
67;approval;Genehmigung
68;appron;Vorfeld
69;approximately;annähernd, ungefähr
70;armed forces;Streitkräfte
71;arrange;einrichten
72;arrival route;Anflugstrecke
73;as far as;soweit
74;as soon as;sobald
75;as well as;sowie
76;assign;zuweisen
77;assignment;Zuweisung
78;associated with;in Verbindung mit
79;ATC clearance;ATC-Freigabe
80;ATC unit;ATC-Stelle
81;attached rope;anhängendes Seil
82;attention shall be paid to;es ist zu achten auf
83;authority;Behörde
84;authorization;Genehmigung
85;authorize;genehmigen
86;autorotation;Autorotation
87;available;verfügbar
88;avoid;meiden, vermeiden
89;aware of;sich bewüßt sein
